name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lagos,Nigeria",2017-01-01,34,22,27.7,37.3,22,29.5,22,73.7,0,0,0,,0,0,18.4,13,207.3,1010.5,23.6,1.8,189.4,16.3,7,,2017-01-01T06:57:27,2017-01-01T18:42:46,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-02,35,23.9,28.3,40,23.9,30.9,23.7,78.2,0,0,0,,0,0,,11.2,199,1010.5,25.1,2.2,209.6,18.2,8,,2017-01-02T06:57:52,2017-01-02T18:43:17,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-03,34.2,24,28.4,37.3,24,30.3,22.6,73.5,0,0,0,,0,0,,13,189.8,1011.2,23.2,2.9,213.1,18.4,8,,2017-01-03T06:58:17,2017-01-03T18:43:47,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-04,35,23.9,28.4,36.3,23.9,28.7,20.4,66.8,0,0,0,,0,0,24.1,14.8,202.1,1010.1,22.8,3.2,218.2,19,8,,2017-01-04T06:58:41,2017-01-04T18:44:18,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-05,34,22.4,27.9,38.5,22.4,30.5,22.9,76,0,0,0,,0,0,,12.6,243.9,1009.6,30.4,3.3,159,13.6,6,,2017-01-05T06:59:04,2017-01-05T18:44:48,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-06,35,25,28.8,40.6,25,32.3,24.5,79.6,0,0,0,,0,0,14.8,13,226.6,1009.7,33.3,3.7,179.4,15.6,6,,2017-01-06T06:59:27,2017-01-06T18:45:18,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2017-01-07,33,25,28.4,40.6,25,33,25.3,84.1,0,0,0,,0,0,24.1,13,169.8,1011.3,39,3.4,146.3,12.5,6,,2017-01-07T06:59:49,2017-01-07T18:45:48,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-08,36,24.9,29,43.2,24.9,32.9,24.7,79.6,0,0,0,,0,0,18.4,13,196,1011,34.1,3.7,126.2,10.8,5,,2017-01-08T07:00:11,2017-01-08T18:46:17,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2017-01-09,35,25,29,40.6,25,31.9,23.1,73.1,0,0,0,,0,0,16.6,12.8,172,1009.7,37,3.8,158.9,13.7,5,,2017-01-09T07:00:31,2017-01-09T18:46:47,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2017-01-10,35,25,28.4,38.5,25,30.7,23.4,76.6,0,0,0,,0,0,16.6,16.6,217.5,1008.8,36.6,5.4,228.7,19.7,8,,2017-01-10T07:00:51,2017-01-10T18:47:15,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2017-01-11,34,24,27.8,39.6,24,31,24.5,82.9,0,0,0,,0,0,,22.3,192.1,1009.5,39.8,6.3,239.7,20.7,8,,2017-01-11T07:01:10,2017-01-11T18:47:44,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-12,34,25.1,28.8,40.6,25.1,32.3,24.6,79.8,0,0,0,,0,0,18.4,18.4,182.8,1010.5,45.2,7.4,200.3,17.3,8,,2017-01-12T07:01:29,2017-01-12T18:48:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2017-01-13,33,26,28.8,39.2,26,33.4,25.3,82.6,0,0,0,,0,0,16.6,14,245.3,1009.5,45.7,7.6,90.3,7.7,3,,2017-01-13T07:01:46,2017-01-13T18:48:40,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,65202099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-14,36,20,28.2,34.8,20,28.7,17.1,57.6,0,0,0,,0,0,,16.6,166.5,1008.8,28.1,7.7,153,13.2,5,,2017-01-14T07:02:03,2017-01-14T18:49:07,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-15,33,21,26.4,34.6,21,27,19.5,68.3,0,0,0,,0,0,,11.2,175.7,1008.9,27.1,5.7,137.7,12,5,,2017-01-15T07:02:19,2017-01-15T18:49:34,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-16,34,23,27.7,39.4,23,30.3,22.9,76.4,0,0,0,,0,0,,16.6,208.9,1009,37,5.9,215.1,18.5,8,,2017-01-16T07:02:34,2017-01-16T18:50:00,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-17,34.1,25.8,28.7,40.8,25.8,32.1,24.4,79,0,0,0,,0,0,,18.4,227.7,1008.8,39.4,7.6,169,14.5,6,,2017-01-17T07:02:48,2017-01-17T18:50:26,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-18,34,25,28.8,40.6,25,32.9,24.9,81,0,0,0,,0,0,,13,226.7,1009.1,42.3,7.2,117.8,9.9,4,,2017-01-18T07:03:01,2017-01-18T18:50:51,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-19,34,25.8,29.1,42,25.8,33.9,25.2,80.8,0,0,0,,0,0,,13,220.6,1010.3,48.6,8.4,128.8,11.2,5,,2017-01-19T07:03:14,2017-01-19T18:51:16,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65213099999,DNMM,65201099999"
"Lagos,Nigeria",2017-01-20,34,26,29,42,26,34.1,25.5,82.7,0,0,0,,0,0,,20.5,225.3,1009.4,50,7.3,82.5,7.1,3,,2017-01-20T07:03:25,2017-01-20T18:51:40,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2017-01-21,34,26,28.9,42,26,33.9,25.6,83.3,0,0,0,,0,0,24.1,20.3,215.5,1009.5,49.1,7.4,155.5,13.5,6,,2017-01-21T07:03:35,2017-01-21T18:52:04,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-22,32,26,29,40.6,26,35,25.9,83.6,0,0,0,,0,0,25.9,18.5,194.9,1009.8,51.2,8,103.6,8.9,4,,2017-01-22T07:03:45,2017-01-22T18:52:27,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2017-01-23,35,25.1,29.5,41.9,25.1,34.5,24.9,77.7,0,0,0,,0,0,14.8,27.4,225.3,1010.5,51.7,7.7,124.7,10.7,4,,2017-01-23T07:03:54,2017-01-23T18:52:49,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2017-01-24,35,24,28.8,38.7,24,32,23.3,74.2,0,0,0,,0,0,22.3,14.8,225.7,1010.9,42,8.9,110,9.3,4,,2017-01-24T07:04:01,2017-01-24T18:53:11,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
