name,Longitude,Latitude,datetime,datetime,temp,humidity,precip,preciptype,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
"Lagos,Nigeria",,,5/25/2017,May,26.3,87.5,10,rain,25.9,1012.2,57.8,9.1,124.1,5
"Lagos,Nigeria",,,5/26/2017,May,27,84.4,5,rain,13,1013.2,49.6,8.4,212.6,7
"Lagos,Nigeria",,,5/27/2017,May,28.3,81.8,0.4,rain,14.8,1013.2,55.7,9.4,192.1,6
"Lagos,Nigeria",,,5/28/2017,May,28.5,83.3,0.3,rain,25.9,1012.6,55.9,9.4,169.3,6
"Lagos,Nigeria",,,5/29/2017,May,29.1,81.7,0.2,rain,18.4,1012.6,56.2,9.8,176.6,6
"Lagos,Nigeria",,,5/30/2017,May,28,84.3,0.4,rain,44.6,1012.6,58.8,9.8,139,6
"Lagos,Nigeria",,,5/31/2017,May,26,89.9,8,rain,18.4,1014.7,47.5,7.5,99.7,3
"Lagos,Nigeria",,,6/1/2017,June,27.5,79,0.1,rain,12.8,1013.8,43,9.3,232.7,8
"Lagos,Nigeria",,,6/2/2017,June,28.2,83.5,0.3,rain,22.3,1013.5,60.6,9.2,114.3,4
"Lagos,Nigeria",,,6/3/2017,June,26.8,89.8,11,rain,13,1012.2,67.5,8.2,179.5,6
"Lagos,Nigeria",,,6/4/2017,June,25.4,89.7,63,rain,51.8,1012.9,64.1,8.3,135.5,5
"Lagos,Nigeria",,,6/5/2017,June,26.2,90,7,rain,18.3,1012.1,64.7,8.2,139.1,5
"Lagos,Nigeria",,,6/6/2017,June,26.5,89.7,5,rain,14.8,1012.7,55.1,8.4,149.2,6
"Lagos,Nigeria",,,6/7/2017,June,27.3,87,0.7,rain,11.9,1012.9,57.2,8.4,173.4,6
"Lagos,Nigeria",,,6/8/2017,June,27.9,85.2,2,rain,14.8,1011.1,57,8.4,168.5,6
"Lagos,Nigeria",,,6/9/2017,June,28.6,85.6,1.3,rain,20.5,1009.9,62.9,9.5,95.1,3
"Lagos,Nigeria",,,6/10/2017,June,27.5,89.9,5,rain,22.3,1010.9,66.1,8.6,91,4
"Lagos,Nigeria",,,6/11/2017,June,28,84.7,0,,20.5,1011,50.4,9.7,171.6,6
"Lagos,Nigeria",,,6/12/2017,June,26.4,90.1,49,rain,25.9,1010.9,71.3,7.4,97.1,3
"Lagos,Nigeria",,,6/13/2017,June,26.7,85,9.5,rain,19.1,,88.4,,83.8,3
"Lagos,Nigeria",,,6/14/2017,June,26.9,88.8,5.7,rain,20.9,1012.7,84.5,8.2,126.8,4
"Lagos,Nigeria",,,6/15/2017,June,26.5,89.9,0.5,rain,18.4,1012.7,47.9,7.1,211.2,6
"Lagos,Nigeria",,,6/16/2017,June,26.9,85.3,12.5,rain,22.3,1012.2,64.3,9.2,101.8,3
"Lagos,Nigeria",,,6/17/2017,June,25.5,86.1,0.8,rain,20.9,1011.8,46.6,9,153.1,5
"Lagos,Nigeria",,,6/18/2017,June,27,84.3,0.1,rain,18.4,1011,60.3,9.1,176.5,7
"Lagos,Nigeria",,,6/19/2017,June,27.6,83.3,0.4,rain,27.7,1011.6,69.6,8.4,112.1,4
"Lagos,Nigeria",,,6/20/2017,June,25.8,90.1,29,rain,21.6,1013.4,62.7,7.8,97.8,3
"Lagos,Nigeria",,,6/21/2017,June,26.7,84.4,11,rain,14,1013.1,66.9,10.1,205.4,7
"Lagos,Nigeria",,,6/22/2017,June,27.8,85.2,99,rain,18.4,1011.9,59.7,9.6,121.5,4
"Lagos,Nigeria",,,6/23/2017,June,27,88.5,2,rain,23.8,1011.7,58.3,9.5,83.5,3
"Lagos,Nigeria",,,6/24/2017,June,27.2,83.7,10,rain,18,1011.2,66.1,9.2,116.9,4
"Lagos,Nigeria",,,6/25/2017,June,26.6,88.9,16,rain,14.8,1012,63,9,130.1,5
"Lagos,Nigeria",,,6/26/2017,June,26.9,84.3,4.6,rain,22.3,1012.5,52,10.7,124.1,5
"Lagos,Nigeria",,,6/27/2017,June,27.4,84.4,0.6,rain,14.8,1012.7,64.8,9.3,110.3,4
"Lagos,Nigeria",,,6/28/2017,June,27,87.2,22,rain,19.1,1013.6,56.4,9,113.8,4
"Lagos,Nigeria",,,6/29/2017,June,26.2,91.1,11,rain,20.5,1013.6,64.2,9.1,158.8,5
"Lagos,Nigeria",,,6/30/2017,June,26.3,88,0.8,rain,16.6,1014.5,61,9,178.1,7
"Lagos,Nigeria",,,7/1/2017,July,26.1,90.4,20,rain,21.2,1013.9,71.6,8.4,76,3
"Lagos,Nigeria",,,7/2/2017,July,27.3,85.5,2.2,rain,20.9,1013.7,83.5,9,118,4
"Lagos,Nigeria",,,7/3/2017,July,27,86.3,5.8,rain,23,1014.5,74.5,9,89,3
"Lagos,Nigeria",,,7/4/2017,July,26.6,88.5,0.3,rain,22.3,1014,61.7,9,108.8,3
"Lagos,Nigeria",,,7/5/2017,July,25.6,92.6,10,rain,24.1,1014.3,69.1,7,105.7,3
"Lagos,Nigeria",,,7/6/2017,July,24.2,95.4,66,rain,18.4,1014.9,64.7,8,180.5,7
"Lagos,Nigeria",,,7/7/2017,July,25.4,91,0.9,rain,18.4,1014.9,73,7.2,222.6,8
"Lagos,Nigeria",,,7/8/2017,July,24.7,94.7,18.1,rain,16.6,1014.5,71.6,6.7,232.7,8
"Lagos,Nigeria",,,7/9/2017,July,25.1,91.8,15,rain,22.3,1015,65.7,7.5,210.1,7
"Lagos,Nigeria",,,7/10/2017,July,25.9,82,0,,22.3,1015.1,66.6,9.1,203.9,8
"Lagos,Nigeria",,,7/11/2017,July,25.7,81,0,,20.5,1016.2,57,9.4,241.9,8
"Lagos,Nigeria",,,7/12/2017,July,26.1,81.8,0,,16.9,1015.9,54.5,9.6,263,9
"Lagos,Nigeria",,,7/13/2017,July,25.9,85,0,,20.5,1015.4,49.2,9.3,258.9,8
"Lagos,Nigeria",,,7/14/2017,July,26.7,81.4,0,,20.2,1014.3,70.6,9.7,217.5,8
"Lagos,Nigeria",,,7/15/2017,July,26.6,84,0.1,rain,20.5,1014.3,56.8,9,159.3,6
"Lagos,Nigeria",,,7/16/2017,July,25.7,89.4,2.1,rain,25.2,1015,65.7,9.1,134.4,5
"Lagos,Nigeria",,,7/17/2017,July,25.7,91.3,8,rain,22.3,1013.2,62.5,7.9,196.6,7
"Lagos,Nigeria",,,7/18/2017,July,25.3,92.5,5,rain,20.5,1014.1,72.1,7.3,132.2,4
"Lagos,Nigeria",,,7/19/2017,July,25.9,88,2.2,rain,18.4,,69.7,8,207.8,7
"Lagos,Nigeria",,,7/20/2017,July,26.1,87.8,3.1,rain,21.6,,34.5,,231.1,8
"Lagos,Nigeria",,,7/21/2017,July,26.1,88,5.2,rain,25.6,,60.1,,210.6,7
"Lagos,Nigeria",,,7/22/2017,July,25.9,91.4,44.4,rain,30.2,,93.9,,72,2
"Lagos,Nigeria",,,7/23/2017,July,25.7,90,23,rain,31.7,1015,83.8,8.1,88.4,4
"Lagos,Nigeria",,,7/24/2017,July,25.3,89.9,6,rain,24.5,1015.3,54.9,8.5,184.1,7
"Lagos,Nigeria",,,7/25/2017,July,25.3,88.5,5,rain,31.7,1014.9,76.1,8.1,118.3,3
"Lagos,Nigeria",,,7/26/2017,July,25.5,88.2,0.1,rain,21.6,1014.5,68.4,8.1,224.6,8
"Lagos,Nigeria",,,7/27/2017,July,25.5,86.6,0.5,rain,18,1013.2,84.8,10,238,8
"Lagos,Nigeria",,,7/28/2017,July,26.2,86.8,0.2,rain,20.5,1013.4,68.5,9.2,201.2,7
"Lagos,Nigeria",,,7/29/2017,July,25.9,87.7,0.3,rain,22.3,1015.1,68.3,8.5,164.7,5
"Lagos,Nigeria",,,7/30/2017,July,26.1,84.5,0.7,rain,25.9,1013.6,70.8,9.5,201.2,7
"Lagos,Nigeria",,,7/31/2017,July,25.8,85.3,0,,27.7,1013.8,67.4,9.5,210.9,7
"Lagos,Nigeria",,,8/1/2017,August,25.7,87.2,2.4,rain,24.1,1015,70.2,8,168.2,5
"Lagos,Nigeria",,,8/2/2017,August,25.2,91.7,9,rain,24.1,1014.8,71.3,8.4,135.7,5
"Lagos,Nigeria",,,8/3/2017,August,24.4,92.3,8,rain,24.1,1015,68.2,7.3,232.2,8
"Lagos,Nigeria",,,8/4/2017,August,24.9,88.5,4,rain,25.9,1014.6,73.1,8,191.6,6
"Lagos,Nigeria",,,8/5/2017,August,24.7,90.3,7,rain,24.1,1013.6,70.3,8.2,211.6,7
"Lagos,Nigeria",,,8/6/2017,August,25.3,88.4,0,,24.1,1013.6,82.5,9,217.9,7
"Lagos,Nigeria",,,8/7/2017,August,25.3,85.5,0.1,rain,25.9,1014.7,66.2,9.3,195.1,7
"Lagos,Nigeria",,,8/8/2017,August,25,88.9,0.5,rain,22.3,1014.2,59.4,9,210.7,7
"Lagos,Nigeria",,,8/9/2017,August,25.1,90.2,0.1,rain,20.9,1015,62.9,9.2,216.6,8
"Lagos,Nigeria",,,8/10/2017,August,25.8,87.5,0.5,rain,22.3,1014.3,61.8,9.3,218.4,8
"Lagos,Nigeria",,,8/11/2017,August,25.8,85.6,0,,18.4,1014.1,65.7,8.5,168.4,5
"Lagos,Nigeria",,,8/12/2017,August,25.9,85.7,0,,25.9,1013.4,60.9,9.1,198.5,7
"Lagos,Nigeria",,,8/13/2017,August,26.2,85.7,0,,24.1,1012.8,60.2,9.8,211.6,7
"Lagos,Nigeria",,,8/14/2017,August,25.6,88.5,2.6,rain,24.1,1012.2,76,9.5,170.8,7
"Lagos,Nigeria",,,8/15/2017,August,25.6,86.9,2,rain,27.7,1013.4,86.9,9.2,217.8,7
"Lagos,Nigeria",,,8/16/2017,August,25.6,88,0.7,rain,22.3,1012.8,75.8,7.6,161.7,6
"Lagos,Nigeria",,,8/17/2017,August,24.8,89.9,17,rain,27.7,1011.6,72.1,8.1,135,5
"Lagos,Nigeria",,,8/18/2017,August,25.5,86.2,0.2,rain,20.9,1011.3,81.9,9,202.7,7
"Lagos,Nigeria",,,8/19/2017,August,25.2,83.7,0,,19.4,1012.8,43.6,9.1,275.3,9
"Lagos,Nigeria",,,8/20/2017,August,25.4,83.5,0,,20.5,1013.4,56.2,9.3,264.5,9
"Lagos,Nigeria",,,8/21/2017,August,25.2,84.4,0,,25.9,1013.1,57.6,9.7,226.2,8
"Lagos,Nigeria",,,8/22/2017,August,25.3,83.2,0,,22.3,1013.5,58.6,9.3,210,8
"Lagos,Nigeria",,,8/23/2017,August,25.4,83.1,0,,18,1012.6,56.6,9.8,262.5,9
"Lagos,Nigeria",,,8/24/2017,August,25.7,84.2,0,,14.8,1012.3,59.4,9.1,260.5,9
"Lagos,Nigeria",,,8/25/2017,August,23.6,91.9,39,rain,20.5,1012.1,56.6,9,166.2,6
"Lagos,Nigeria",,,8/26/2017,August,24.7,88.7,4,rain,18.4,1012.9,55.6,7.2,126.5,4
"Lagos,Nigeria",,,8/27/2017,August,25,89,0.6,rain,22.3,1014.1,59.8,8.8,165.4,6
"Lagos,Nigeria",,,8/28/2017,August,25.5,87.2,0,,24.1,1013,55.8,9.5,148.5,5
"Lagos,Nigeria",,,8/29/2017,August,25,89.4,0,,26.3,1012.5,76.8,9.4,176.8,6
"Lagos,Nigeria",,,8/30/2017,August,25.2,88.1,3,rain,27.7,1013.4,68.8,9.6,177.2,6
"Lagos,Nigeria",,,8/31/2017,August,25.2,87.5,0,,25.9,1013.8,67.7,9.9,240.5,8
"Lagos,Nigeria",,,9/1/2017,September,25.7,84.5,0,,25.9,1014.7,55.2,9.2,244.7,9
"Lagos,Nigeria",,,9/2/2017,September,25.6,85.2,0,,20.5,1014.4,59.2,9.5,153.3,4
"Lagos,Nigeria",,,9/3/2017,September,25.4,87.2,0,,18.4,1014,58.3,9.8,197.3,7
"Lagos,Nigeria",,,9/4/2017,September,25.6,85.1,0,,22.3,1013.8,63,10,243.8,8
"Lagos,Nigeria",,,9/5/2017,September,25.8,85.3,0,,20.9,1014.2,59.7,9.4,254.8,9
"Lagos,Nigeria",,,9/6/2017,September,25.8,85.7,0,,27.7,1013.3,64.5,9.6,257.1,9
"Lagos,Nigeria",,,9/7/2017,September,24.5,91.7,11,rain,20.9,1013,66.4,7.4,168.9,6
"Lagos,Nigeria",,,9/8/2017,September,25,90.4,25,rain,23.4,1013.4,77.9,7.9,249.2,9
"Lagos,Nigeria",,,9/9/2017,September,26,88.1,0,,18.4,1012.9,57.1,9.3,240.9,8
"Lagos,Nigeria",,,9/10/2017,September,26,86.8,0.2,rain,22.3,1012.2,59.3,9.4,236.4,8
"Lagos,Nigeria",,,9/11/2017,September,24.8,89.1,290,rain,22.3,1012.6,80.8,8.1,159.9,6
"Lagos,Nigeria",,,9/12/2017,September,25.2,89.7,0,,22.3,1012.9,61.1,9.4,158,5
"Lagos,Nigeria",,,9/13/2017,September,25.1,91.8,0,,22.3,1014,55.8,8.9,170.6,6
"Lagos,Nigeria",,,9/14/2017,September,26.2,86.6,0,,24.1,1013.2,64.7,9.2,196.5,6
"Lagos,Nigeria",,,9/15/2017,September,25.9,87.8,0,,25.9,1013,68.7,9,206.5,7
"Lagos,Nigeria",,,9/16/2017,September,26.3,85.5,2,rain,24.1,1012.7,65.2,9.9,188.1,6
"Lagos,Nigeria",,,9/17/2017,September,26.5,83.3,0,,20.5,1014.5,55,9.8,279.1,10
"Lagos,Nigeria",,,9/18/2017,September,25.7,87.7,0,,20.5,1014.6,46.9,9.8,257.3,9
"Lagos,Nigeria",,,9/19/2017,September,26.3,86.6,0,,24.5,1013.2,74,10,209.4,8
"Lagos,Nigeria",,,9/20/2017,September,26.3,85.3,0,,20.2,,59.5,,212.4,7
"Lagos,Nigeria",,,9/21/2017,September,26.3,85,0,,24.1,,65.8,10,243.8,9
"Lagos,Nigeria",,,9/22/2017,September,27,79.8,0.1,rain,23.8,1012.8,64.3,9.8,225.4,8
"Lagos,Nigeria",,,9/23/2017,September,27,80.6,0,,22.3,1014.1,51.9,9.8,165.8,5
"Lagos,Nigeria",,,9/24/2017,September,25.3,87.5,49,rain,27.7,1013.7,52,9.1,148.7,6
"Lagos,Nigeria",,,9/25/2017,September,26.7,85.6,0.3,rain,24.1,1011.6,60.3,9,152.1,5
"Lagos,Nigeria",,,9/26/2017,September,24.1,95.1,4,rain,27.7,1011.3,52.4,6.5,109.2,4
"Lagos,Nigeria",,,9/27/2017,September,26.4,83.2,0.3,rain,24.1,1011.5,41.2,7.8,223.5,7
"Lagos,Nigeria",,,9/28/2017,September,25.6,88.5,0.3,rain,20.5,1012.5,51,9.1,121.6,4
"Lagos,Nigeria",,,9/29/2017,September,26.2,88.5,1,rain,137.2,1012.5,62.6,8.6,142.8,5
"Lagos,Nigeria",,,9/30/2017,September,26.5,83.3,6,rain,27.7,1011.3,59.9,8.6,188.2,7
"Lagos,Nigeria",,,10/1/2017,October,28.8,79.4,0.1,rain,25.9,1010.9,51.6,9,175.8,6
"Lagos,Nigeria",,,10/2/2017,October,26,87.2,5,rain,18.4,1011.3,57,9.7,130.2,4
"Lagos,Nigeria",,,10/3/2017,October,26.4,84.6,0,,24.1,1010,43,8.9,201.7,7
"Lagos,Nigeria",,,10/4/2017,October,26.4,87.2,25,rain,25.9,1011.5,60.9,9,135.5,5
"Lagos,Nigeria",,,10/5/2017,October,26.2,87.5,1,rain,25.9,1011.6,62.4,8.7,121.4,4
"Lagos,Nigeria",,,10/6/2017,October,26.9,85.5,1.3,rain,27.7,1010.9,58.7,8.6,205.7,7
"Lagos,Nigeria",,,10/7/2017,October,25.8,90.6,27,rain,22.3,1011.1,68.2,8.2,198.5,7
"Lagos,Nigeria",,,10/8/2017,October,25.9,89.2,0.6,rain,18.4,1011.6,66.7,8.9,92.6,3
"Lagos,Nigeria",,,10/9/2017,October,27.3,85.8,0,,24.1,1011.1,53.6,9.3,167.4,6
"Lagos,Nigeria",,,10/10/2017,October,26.5,87,35,rain,25.9,1010.9,64.2,8.3,136,5
"Lagos,Nigeria",,,10/11/2017,October,25.9,87.7,0,,24.1,1011.9,55.6,8.2,194.2,7
"Lagos,Nigeria",,,10/12/2017,October,24.9,92.7,17,rain,20.5,1012.3,57.7,8.7,133.3,5
"Lagos,Nigeria",,,10/13/2017,October,26.7,86.4,0.3,rain,19.1,1011.8,65.2,8.8,133.4,5
"Lagos,Nigeria",,,10/14/2017,October,27.4,82.6,0.1,rain,22.3,1012,57.7,8.2,150,6
"Lagos,Nigeria",,,10/15/2017,October,27.4,85.1,0.2,rain,22.3,1012.4,59.4,8.8,213.4,7
"Lagos,Nigeria",,,10/16/2017,October,27.3,86.8,0,,20.5,1013.3,56.9,9.8,193.5,6
"Lagos,Nigeria",,,10/17/2017,October,27.8,86.5,2,rain,24.1,1013.1,58.1,8.6,193.1,7
"Lagos,Nigeria",,,10/18/2017,October,26.7,90.7,0.1,rain,18.4,1013.2,63.8,7.9,102.9,3
"Lagos,Nigeria",,,10/19/2017,October,26.8,86.1,0,,16.6,1013,56,6.7,211.9,8
"Lagos,Nigeria",,,10/20/2017,October,27.6,84.4,0,,20.5,1012.7,65.2,7.7,211.2,8
"Lagos,Nigeria",,,10/21/2017,October,27.8,84.2,0.2,rain,27.7,1012.7,57.5,7.7,224.2,8
"Lagos,Nigeria",,,10/22/2017,October,27.1,87.6,11,rain,25.9,1012.7,54.5,8.7,197.2,8
"Lagos,Nigeria",,,10/23/2017,October,27.5,86.7,5,rain,27.7,1011.9,53.5,8.9,221.4,8
"Lagos,Nigeria",,,10/24/2017,October,27.7,84.2,0.1,rain,18.4,1010.8,57.1,8.8,242.8,9
"Lagos,Nigeria",,,10/25/2017,October,28.1,83.3,0.1,rain,22.3,1010.6,56.2,8.6,200.1,7
"Lagos,Nigeria",,,10/26/2017,October,28.5,83.4,0,,27.7,1011.2,57.4,9.6,123.9,4
"Lagos,Nigeria",,,10/27/2017,October,26.3,93.1,32,rain,18.4,1011.1,55.9,8.5,105.9,4
"Lagos,Nigeria",,,10/28/2017,October,27,88.2,0,,20.5,1010.3,61,8.7,118.9,4
"Lagos,Nigeria",,,10/29/2017,October,27.7,84.1,0,,18.4,1010.3,52.9,7.2,201.7,8
"Lagos,Nigeria",,,10/30/2017,October,28.6,83.3,0,,24.1,1009.9,60.4,8.3,185.4,7
"Lagos,Nigeria",,,10/31/2017,October,27.8,86,0,,20.5,1010.4,50.9,7.5,135.7,5
"Lagos,Nigeria",,,4/1/2018,April,29.2,84.7,0,,20.9,1008.9,57.8,8.6,92.5,4
"Lagos,Nigeria",,,4/2/2018,April,29.4,82.3,0,,24.1,1008.9,52,7.2,91.4,3
"Lagos,Nigeria",,,4/3/2018,April,29.3,82.9,0,,23.8,1008.9,60.3,7.7,141.9,5
"Lagos,Nigeria",,,4/4/2018,April,29.5,81.7,0,,22.1,1009.9,57.8,8.6,156,6
"Lagos,Nigeria",,,4/5/2018,April,28.3,85.7,0.3,rain,19.4,1010.5,62.3,7.6,95.8,3
"Lagos,Nigeria",,,4/6/2018,April,28.5,83.3,3.5,rain,25.9,1009.4,71.6,8.2,107.4,4
"Lagos,Nigeria",,,4/7/2018,April,29.3,80.6,1.6,rain,18.4,1009.9,66,8,196,7
"Lagos,Nigeria",,,4/8/2018,April,27.3,85.1,19,rain,37.1,1011.5,54.1,8.5,152.4,5
"Lagos,Nigeria",,,4/9/2018,April,27.6,84.6,0.3,rain,24.1,1012.9,59.6,8.8,202.2,8
"Lagos,Nigeria",,,4/10/2018,April,26.3,86.7,0,,13,1013.4,54.1,8.3,96.1,3
"Lagos,Nigeria",,,4/11/2018,April,27.8,83.7,0,,14.8,1011.9,54.8,8.8,154.4,5
"Lagos,Nigeria",,,4/12/2018,April,28.9,80.3,0,,24.1,1012,56,9.7,178.8,7
"Lagos,Nigeria",,,4/13/2018,April,28.4,83.5,0,,23,1013.2,50.9,9.8,220.4,8
"Lagos,Nigeria",,,4/14/2018,April,29.3,77.9,0,,25,1013.3,56.4,9.8,163.8,6
"Lagos,Nigeria",,,4/15/2018,April,28,85.9,0,,17.1,1013.5,44.3,9.6,112.8,4
"Lagos,Nigeria",,,4/16/2018,April,28.6,81.5,0,,18.4,1013.5,53.1,9.3,156.3,5
"Lagos,Nigeria",,,4/17/2018,April,29.2,79.5,0,,19.5,1013.3,50.7,9.9,194.3,7
"Lagos,Nigeria",,,4/18/2018,April,29.7,77.5,0.2,rain,19.1,1013.4,61,10,118.8,4
"Lagos,Nigeria",,,4/19/2018,April,29.5,80.2,0.1,rain,20.5,1012.6,49.7,10,124.8,4
"Lagos,Nigeria",,,4/20/2018,April,26.6,87.7,8,rain,33.5,1013.1,51,8.1,158,6
"Lagos,Nigeria",,,4/21/2018,April,28,82.4,0,,22.3,1012.1,53.7,8.1,158,6
"Lagos,Nigeria",,,4/22/2018,April,29,79.1,0,,16.6,1012.9,53.8,10,158.4,6
"Lagos,Nigeria",,,4/23/2018,April,29.1,81.1,0,,22.3,1012.4,54.5,10,105.4,4
"Lagos,Nigeria",,,4/24/2018,April,29.7,80.4,0,,24.1,1012.5,54.2,10,94.5,3
"Lagos,Nigeria",,,4/25/2018,April,27.7,85.6,1,rain,15.5,1012.7,58.3,9.1,104.1,4
"Lagos,Nigeria",,,4/26/2018,April,28,79.6,0,,16.6,1012.5,54.8,8,136.7,5
"Lagos,Nigeria",,,4/27/2018,April,28.5,80.3,0,,20.5,1012,51.2,9.8,179.3,7
