name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lagos,Nigeria",2019-07-01,26.7,25,25.5,26.7,25,25.5,24.3,93,26,100,4.17,rain,0,0,,20.9,232.1,1014.8,45.8,8.4,226.3,19.6,7,,2019-07-01T06:35:33,2019-07-01T19:04:59,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-02,31,24,26.5,39.1,24,28.6,24.5,89.3,0.2,100,8.33,rain,0,0,,17.3,238.9,1013.7,68,9.1,251.8,21.6,8,,2019-07-02T06:35:47,2019-07-02T19:05:08,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-03,30,24.8,26.8,36.8,24.8,28.9,24.6,88.2,0.9,100,12.5,rain,0,0,,18.4,218.9,1013.2,49.8,9.4,205.4,17.6,7,,2019-07-03T06:36:00,2019-07-03T19:05:17,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-04,27.3,25,25.8,31.2,25,26.4,25,95.1,8,100,4.17,rain,0,0,,19.4,233.3,1014,61,8.6,117.8,10.1,4,,2019-07-04T06:36:14,2019-07-04T19:05:25,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,65203099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-05,28,25,25.9,32.7,25,26.7,24.8,94.1,3,100,4.17,rain,0,0,,17.3,240.8,1014.9,64.3,8.8,113,10,4,,2019-07-05T06:36:28,2019-07-05T19:05:32,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65213099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-06,29,23.8,26.5,34.5,23.8,28.6,24,86.8,0,0,0,,0,0,,14.8,262.6,1014.2,58.5,9.5,251.8,21.7,8,,2019-07-06T06:36:41,2019-07-06T19:05:39,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
"Lagos,Nigeria",2019-07-07,30,25,27,36.2,25,29.5,24.4,86,0.1,100,4.17,rain,0,0,,28.1,242.2,1014.5,70.4,9.7,138,11.9,5,,2019-07-07T06:36:54,2019-07-07T19:05:45,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-08,29,23,25.9,33.6,23,27.4,23.2,85.5,4,100,4.17,rain,0,0,,24.1,224.3,1015.2,56.5,9.5,104.7,9,4,,2019-07-08T06:37:07,2019-07-08T19:05:51,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,65201099999"
"Lagos,Nigeria",2019-07-09,30,24.8,26.7,35.1,24.8,28.3,23.6,83.6,0,0,0,,0,0,20.5,36.5,240.1,1016.6,50.8,9.8,147,12.5,5,,2019-07-09T06:37:20,2019-07-09T19:05:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2019-07-10,30.1,24.8,26.8,36,24.8,28.7,24,85.6,0,0,0,,0,0,,22.3,240.2,1015.9,54.6,9.5,162.9,14.2,6,,2019-07-10T06:37:33,2019-07-10T19:06:01,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
"Lagos,Nigeria",2019-07-11,29,24,25.8,33.6,24,26.6,23.7,88.9,6,100,4.17,rain,0,0,,24.1,248.5,1014.4,66,8.2,92.7,8,3,,2019-07-11T06:37:46,2019-07-11T19:06:05,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-12,26,23,24.6,26,23,24.6,23.6,94.1,4,100,8.33,rain,0,0,,14.8,244.6,1015.8,65.6,7.7,124.2,10.7,4,,2019-07-12T06:37:58,2019-07-12T19:06:08,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-13,30,23,25.9,35.1,23,27.4,23.4,86.9,3,100,4.17,rain,0,0,,16.6,225.5,1016.2,56.6,7.7,240,20.7,8,,2019-07-13T06:38:10,2019-07-13T19:06:11,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,65201099999"
"Lagos,Nigeria",2019-07-14,30,23.8,26.3,35.1,23.8,27.9,23.5,85.3,0,0,0,,0,0,,18.4,256.6,1015,54.3,8.6,239.7,20.5,8,,2019-07-14T06:38:22,2019-07-14T19:06:13,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,65201099999"
"Lagos,Nigeria",2019-07-15,28.8,23.9,25.7,32.6,23.9,26.4,23.3,87.1,0.2,100,4.17,rain,0,0,,20.5,271.5,1014.3,61.8,9.2,93.6,8.2,3,,2019-07-15T06:38:33,2019-07-15T19:06:14,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-16,26,22.5,24.2,26,22.5,24.2,23.2,93.9,33,100,4.17,rain,0,0,,18.4,266.8,1014.3,53.3,9.1,78.9,6.8,3,,2019-07-16T06:38:44,2019-07-16T19:06:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-17,30.8,21.6,25.8,36.2,21.6,27.5,23.1,85.8,0.2,100,4.17,rain,0,0,,18.4,266.1,1015.5,51.4,8.7,233.6,20,8,,2019-07-17T06:38:55,2019-07-17T19:06:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-18,27,24,25.5,30.1,24,26.5,23.3,87.6,1,100,4.17,rain,0,0,,13,267.9,1014.5,60.1,9.9,202.2,17.6,7,,2019-07-18T06:39:06,2019-07-18T19:06:13,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999"
"Lagos,Nigeria",2019-07-19,28,24,25.8,31.9,24,26.5,23.6,88.1,1.9,100,16.67,rain,0,0,,22,247,1015.3,65.8,10,152.1,13.1,5,,2019-07-19T06:39:16,2019-07-19T19:06:12,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2019-07-20,28.6,23.1,25.7,32.7,23.1,25.9,23.7,89.1,13.6,100,58.33,rain,0,0,,20.9,244.3,1015.6,75.4,9.8,172.4,14.9,6,,2019-07-20T06:39:25,2019-07-20T19:06:10,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VRJU8,DNMM,remote,65201099999"
