name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lagos,Nigeria",2021-08-17,29,24.9,26.5,33.6,24.9,28,23.6,84.4,0.2,100,4.17,rain,0,0,20.5,20.5,234,1015,57,10,198.9,17.1,7,,2021-08-17T06:40:54,2021-08-17T19:00:01,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-18,29,24,26.3,33.6,24,27.6,23.2,83.3,0.3,100,4.17,rain,0,0,22.3,19.1,236.3,1015.3,54.5,9.6,166.1,14.2,7,,2021-08-18T06:40:50,2021-08-18T18:59:38,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-19,31,25,26.7,35.6,25,28,23.3,82.4,0.5,100,8.33,rain,0,0,24.1,22,248.2,1013.5,55.2,9.8,109.1,9.5,4,,2021-08-19T06:40:46,2021-08-19T18:59:15,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-20,27,24.8,25.9,30.1,24.8,26.7,23.3,86,0,0,0,,0,0,25.9,22.3,233.3,1012.4,53.7,9.9,156.7,13.5,6,,2021-08-20T06:40:41,2021-08-20T18:58:51,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2021-08-21,27,24,25.1,30.2,24,25.4,23.6,91.6,7,100,4.17,rain,0,0,22.3,18.4,231.4,1013,66.6,8.4,90.6,8,3,,2021-08-21T06:40:36,2021-08-21T18:58:26,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,65201099999"
"Lagos,Nigeria",2021-08-22,30,23.8,25.7,36.2,23.8,26.9,23.8,89.3,2,100,4.17,rain,0,0,22.3,18.4,218.7,1012.8,60.8,8.3,122.5,10.7,4,,2021-08-22T06:40:31,2021-08-22T18:58:01,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-23,30.8,23.2,26.4,37.2,23.2,28.3,23.9,86.4,2,100,4.17,rain,0,0,24.1,22.3,228.8,1011.6,59.8,8.7,194.1,16.9,7,,2021-08-23T06:40:25,2021-08-23T18:57:36,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,65201099999"
"Lagos,Nigeria",2021-08-24,29,25.2,26.8,33.6,25.2,28.4,24.2,85.9,1.6,100,16.67,rain,0,0,24.1,22.3,225.3,1010.9,71.1,9.9,202.8,17.6,6,,2021-08-24T06:40:19,2021-08-24T18:57:10,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-25,30,24.9,26.9,35.1,24.9,28.9,23.6,83,6,100,4.17,rain,0,0,29.5,25.9,214.1,1011.1,59.5,9.9,189.5,16.4,6,,2021-08-25T06:40:12,2021-08-25T18:56:43,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-26,29,25,26.6,34.5,25,28,23.6,83.9,3,100,4.17,rain,0,0,18.4,18.4,241.8,1012.7,56.5,9.6,130.1,11.4,5,,2021-08-26T06:40:06,2021-08-26T18:56:17,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
